measured_t,predicted_t,report_datetime,stop_gtfs_seq,route,measured_t,predicted_t,report_datetime,stop_gtfs_seq,route
15,16,2017-11-10T03:14:01Z,1,MTA NYCT_Q46,0,3,2017-11-10T03:14:51Z,1,MTA NYCT_Q55
0,8,2017-11-10T03:14:01Z,1,MTABC_Q110,0,2,2017-11-10T03:14:50Z,1,MTABC_Q100
34,60,2017-11-10T03:14:00Z,1,MTABC_Q60,0,12,2017-11-10T03:14:53Z,1,MTA NYCT_Q54
0,10,2017-11-10T03:14:01Z,1,MTABC_Q60,0,1,2017-11-10T03:14:49Z,1,MTA NYCT_M15
43,48,2017-11-10T03:14:01Z,1,MTA NYCT_M42,0,9,2017-11-10T03:14:53Z,1,MTA NYCT_M116
0,1,2017-11-10T03:13:56Z,1,MTA NYCT_B6,0,20,2017-11-10T03:14:53Z,1,MTA NYCT_M15
31,35,2017-11-10T03:14:02Z,1,MTA NYCT_Q54,0,2,2017-11-10T03:14:54Z,1,MTA NYCT_M101
0,12,2017-11-10T03:14:01Z,1,MTA NYCT_BX2,0,10,2017-11-10T03:14:58Z,1,MTA NYCT_Q58
0,8,2017-11-10T03:14:00Z,1,MTA NYCT_Q59,0,2,2017-11-10T03:14:58Z,1,MTA NYCT_B1
0,3,2017-11-10T03:14:00Z,1,MTA NYCT_M42,0,15,2017-11-10T03:15:01Z,1,MTA NYCT_M116
33,31,2017-11-10T03:14:02Z,1,MTA NYCT_B6,0,1,2017-11-10T03:14:59Z,1,MTA NYCT_B6
32,18,2017-11-10T03:14:03Z,1,MTA NYCT_Q59,0,3,2017-11-10T03:15:00Z,1,MTA NYCT_Q58
64,61,2017-11-10T03:14:02Z,1,MTABC_Q10,0,12,2017-11-10T03:15:00Z,1,MTA NYCT_B1
97,79,2017-11-10T03:14:01Z,1,MTA NYCT_Q46,0,29,2017-11-10T03:15:01Z,1,MTABC_Q25
0,2,2017-11-10T03:14:03Z,1,MTABC_Q10,0,3,2017-11-10T03:15:02Z,1,MTA NYCT_Q88
,,,,,,,,,
25209,number of zeroes,,,,,,,,
1.364804,% of data,,,,,,,,
